reviewId,userName,content,score
1a4e1f78-727e-421b-a685-a589028a699f,Iqrar Nasuha,"Gak bisa widhrawl dan transfer gara"" otp SMS nya telat Mulu,,",1
dceef66f-5673-4d5a-a4c5-d12d7ba7eea2,Emud Widodo,"Coba dong itu apa c garis garis yang ada di chart minta di hilangkan!! Mengganggu sekali, buat chart seperti di BINANCE yang Powerfull",1
f13b5cd1-996a-454f-81b8-901923ae8e75,ahmad dyta,"Untuk tarik saldo bank yg bisa cuma beberapa. Apa toko crypto ilegal. Hrsnya bank lokal sprt BRI. BCA, BNI bisa untuk narik saldo lebih bagus lagi bisa ke ewallet.",1
cd089c96-ede4-40fc-bfde-08424cf3b4a4,Fadilah Fauzi,"UI nya jelek banget sumpah, upgrade dikit kek kek exchange lain",1
e6c79ee9-ce4b-49fa-9b11-5363d97f25c1,S jatiwijaya,"Aktifitas setoran jika ingin masuk harus konfirmasi dulu identitas dll, aktifitas penarikan juga di tahan...PARAH",1
287c3b1b-278e-49fe-9caa-aa3851524828,Amrulloh Quinn Fadhel,Pelayanan cs buruk... Penarikan juga ribet kadang kode sms delay lama kadang juga gak masuk kodenya,1
179210b8-2e8a-45ea-8ee3-15255567a63a,Mukti Ali,Gak rekomendasi banget kalo buat trading.. aplikasi nya lambat banget terus isi iklan muncul setiap buka aplikasi nya dan itu sangat mengganggu sekali di saat trading.,1
58a18735-f92f-4668-8e3c-08699eb1aeb8,Rahman 201,"Aplikasinya gak jelas, ketika saya ingin melakukan keamanan dan transfer dana. Kode otentikasi google kode selalu salah, padahal kode selalu benar dan tepat waktu. Dana saya hangus di aplikasi ini tidak bisa di transfer, jadi tidak berguna",1
9a08243d-3e8e-4c5c-8bd7-6b2a20b1f1d9,Angga Nugraha,"makin ribet, mau tarik mau transfer harus verifikasinya ribet, gabisa pilih salah satu kayak binance, mau reset harus isi form lagi, selfi lagi, ga akan pernah pake apk ini lagi, langsung p2p aja binance!!!",1
df1ec71b-8e21-47e7-9912-2a7574f83a2d,Satrio,"Saya sudah pasar order jual dan pada saat harga pasar naik dan sudah sesuai dg harga yg saya pasang tetap tidak terjual, sebaliknya ketika beli akan langsung masuk. Tanya ke cs tidak menjawab pertanyaan.",1
088aa843-183a-441c-913f-914dd9376547,Fatullah Arief,"BIDR/IDR membuat transaksi menjadi lebih mahal, mau jual BIDR 1M jadi cuma 990jt dan sebaliknya, klo mau limit order ga kejemput2. Jika pihak Tokocrypto ga merubah spead harganyanya jadi 0,99999999 BIDR/IDR mending pindah tempat lain yang lebih baik",1
aa48c7cf-8d49-4c10-820c-b1d38873a279,Yosua Arianto,"Kesel banget sama Update terbarunya masa iya mau login ke akun udah masukin sandi,kode 2FA, dll gak bisa mulu selalu di arahkan ke dashboard utama dan muncul notifikasi ""login Telah kadaluwarsa""",1
aff0d440-03ec-46dc-9e60-94a8a97aeef0,Diki Agustiawan,"Setelah update kok jadi aneh ya , padahal jaringan cuman Telkomsel juga seperti biasa aku pakai,,malah keluar petunjuk ,katanya terdapat resiko keamanan dijaringan , ada apa ini ya???(",1
c7446080-980d-4357-92b3-9aab4bf92575,Imam Daman,"Makin ribet,ga kaya dulu habis jual aset misal eth jadi BIRD bisa langsung di tarik ke rekening, sekarang BIRD kudu jadiin IDR baru bisa di tarik ke rekening, fee nya jadi dobel dobel fee nya tambah gede, blm penarikan ke bank kena 10 ribu. Pembaharuan yang PARAH!!!!",1
18f1dc34-ca74-4cca-8edd-370c4d75b58a,Ripto Wd,"Tokocrypto aplikasi exchange paling ribet, kalo kita jual aset crypto gak bisa 100% terjual selalu tersisa 0,... kalo terakumulasikan jd lumayan minimal jualnya harus 10usdt, keribetan lainnya saat withdraw harus 200jt saya punya saldo IDR 3jt gak bisa di withdraw kalo exchange lain 100rb saja bisa di withdraw.Kalo exchange lain jualpun bisa 100%.",1
5b29a56c-5889-4339-b8f8-fbb20180d92d,David Driansyah,"Makanya kalau belum siap update, gak usah coba2, akhirnya nyusain member sendiri... fee nya aja di urus terus, kualitas makin buruk, ingat market2 baru banyak muncul, jgn sampe member pada pindah 👎",1
5663e173-04c4-4582-bddd-004b6263505f,Alan Kusuma,"Aplikasi aneh 3 hari sekali keluar sendiri dari akun,.mesti login ulang teros G kayak app sebelah",1
472bd44a-9353-421e-8196-82965a839ef1,Ahmad Jayadi,"Aplikasi paling ribet di dunia reset google autentikasi aja gak bisa gak di respon pdhl saya sdh ajukan. Buang buang waktu aja ,mending hpus aja apk ini ngeselin",1
f241d7d6-3269-4dc9-95e4-bead3f472afc,Hana Sui04,Mau daftar aja ktp saya belum terdaftar di dukcapil katanya.saya daftar hampir 7 platform investasi baru kali ini ktp saya tidak terdaftar di dukcapil.bener bener ini aplikasi,1
9164050b-63d4-4e71-b106-6aa451185b04,olga olga,Ambil duit sendiri ja susahnyaaaa minta ampun.lg proses withdraw..stelah sukses lgsg uninstall ni TC,1
cf8f0d57-4e86-48b6-8d44-6f81b0d7d81c,Dewa Oyy,"sekarang jadi aplikasi Ribet mau whitdrawal/transfer segala pake Google authenticator,udah gitu salah mulu padahal jelas"" udh bener kode authenticator nya udah di coba berkali"" huuhh jadi susah di tarik saldo nya",1
f619d643-ce05-4806-882a-a5988b87d3e9,Rahman Domani,"yang belum terlanjur pakai aplikasi ini jangan coba coba pakai,,aplikasi maling ini..bnyak maintenz nya..tiba penarikan di persulit..auto hapus",1
2c7c6b11-56fb-4db2-857e-8bfb7a5355ca,Silen Tlyyy,Makin update bukannya makin lancar simple cuma loading mulu banyak potongan nya sulit rumit Terburuk sumpah ngak recommended!!!! All in remove Pintu aja yang simpel,1
fa0ada0a-2b8c-4446-998f-4473707df01b,Ryan Maulana,"Buka pesanan order jual sering error lama banget ,di cancel ulang lagi malah jadi rugi , stuck di 6 atau 25 persen",1
89640c8b-26ec-4621-88a6-039e32ae0c00,Kholil lathif,Apk Burik...Top Up bisa Lwt e wallet Penarikan mlah ngak ada...not balance 🖕🏻🖕🏻 tutup aja dev ngak bisa urus,1
13546d9b-6be3-4949-bcde-4deb4f45b8a4,7Nur Faizin7,"Aplikasi sering dibuka, tapi SERING logout sendiri, capek login terus. Tarik dana makin ribet, mungkin biar aman, tapi beneran bikin ribet, apalagi kena potongan ini itu serta potongan yang tersembunyi. Gak transparan. Saya akan tarik semua dana saya, semoga tidak dipersulit. Satu lagi, selain sering logout sendiri. Aplikasi sering update, tau gak ada perubahan yg berarti. Sekian. Terimakasih. 👉 Akhir th 2023, aplikasi sering dibuka. Tapi tetap saja tiap beberapa hari diminta login ulang 💩.",1
22ea6378-af0f-4834-bdf9-08459afaaf8b,MR KRebz,"Saya mau wd kok ga bisa, ada tulisannya penarikan dihentika,karena menonaktifkan pasword,minta solusinya?",1
2c718dab-cac9-4592-a396-be6344070022,Anggy Eka Saputra,"Susah sekali WD ribet mintak ampun, selalu gagal di auhtenticator, mohon solusinya min",1
023ce42b-e727-4b6d-9edc-88fbf0cc0e0c,Eko Saputra,Ini gimana ubah BIDR ke IDR..Sudah chat CS terus di kasih link tapi ga kebuka..buka dari pc pun sama aja.. Tolong di feedback,1
